test,factor,window,n_windows,mean,std,min,max,last,statistic,p_value,break_date
rolling_beta,real_yield,126.0,1773,0.004891992629639004,0.057851228451699314,-0.18670298165804297,0.12822947273468593,-0.002770421984330168,,,
rolling_beta,nasdaq,126.0,1773,0.7070436554590511,0.5220785583509939,-1.6316500439462707,1.7708244498447256,0.45556075718914346,,,
rolling_beta,gold,126.0,1773,0.03631256930750219,0.5049326369185824,-1.528144015463044,1.3172987277967145,0.20578708587384334,,,
rolling_beta,oil,126.0,1773,0.04694307532978559,0.119772303083878,-0.23044975916372776,0.38842304521628374,-0.011956591868081373,,,
rolling_beta,usd,126.0,1773,-1.1618979566593657,1.1113247340996246,-6.28271619758844,1.7161186061409708,-0.8667697725727366,,,
rolling_beta,vix,126.0,1773,-0.0005750267106510236,0.0036134460329076677,-0.0078034915367038585,0.010894390394363926,-0.0031219548407886554,,,
rolling_adjusted_r2,six_factor_model,126.0,1773,0.18290311496520603,0.13926157467336725,-0.018070096628810317,0.4899778218295542,0.24565188502008062,,,
rolling_beta,real_yield,252.0,1647,0.008153088213289165,0.035303282397846865,-0.12744544826415305,0.08496641393895644,0.007662734354028703,,,
rolling_beta,nasdaq,252.0,1647,0.7072312646216224,0.3259117438720601,-0.7055176760361965,1.5312400307856264,0.7729719081312836,,,
rolling_beta,gold,252.0,1647,0.12324749030862035,0.3185542618550514,-0.8199349436879362,0.7534124537086601,0.09193701501602126,,,
rolling_beta,oil,252.0,1647,0.04660531332739481,0.08252268470269015,-0.12573315110102617,0.2689169147570903,0.06527694893575753,,,
rolling_beta,usd,252.0,1647,-1.0142864623405896,0.6618126502706992,-3.323617080907195,0.28253370158358526,-1.3270418741194505,,,
rolling_beta,vix,252.0,1647,-0.0008674711944453523,0.0028025742701661203,-0.006807843365700074,0.008459895409361824,-0.003509872174553722,,,
rolling_adjusted_r2,six_factor_model,252.0,1647,0.17751712410247916,0.11544532912946757,-0.014654881295533162,0.42840097977300595,0.27238441765792887,,,
cusum,six_factor_model,,1898,,,,,,0.8065452198281559,0.5335309346053378,
pre_specified_chow,six_factor_model,,1898,,,,,,5.071103664055715,1.019467866879332e-05,2020-03-16
pre_specified_chow,six_factor_model,,1898,,,,,,2.49262762468768,0.015041044339105709,2022-01-03
